observer_asn,observer_is_rpki,timestamp,attack_type,attacker_asn,prefix,as_path_length
32883,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4213,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
26744,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
32890,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4224,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
32896,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
32899,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22663,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22663,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
22663,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
8330,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22667,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
30860,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
37002,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
37002,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
16527,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
40328,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
39063,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6296,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
39067,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6300,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22687,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22687,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
20640,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
18596,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
166,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
26794,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6315,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6140,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16559,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
26801,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
32945,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
18612,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
30900,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
26806,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
10423,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
10423,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
18616,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16569,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16569,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
32953,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14525,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16582,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14536,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
24776,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
30925,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
18638,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16591,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4307,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4307,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
14549,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
35030,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
35030,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
6360,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
32987,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16604,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16604,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
24796,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4318,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6366,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16608,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
35041,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
226,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
2274,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
39142,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6379,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16619,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16621,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
20718,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
28910,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
28910,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
22768,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22768,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
22768,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
22768,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
22768,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
22772,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22773,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
37109,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
26871,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14585,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
26873,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
35071,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14593,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22788,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
22788,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
22792,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
